STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,10.000.000,134/2021/GCNCW-VSD,12/10/2021,
2,Điều chỉnh lần 1,đăng ký bổ sung,7.700.000,134/2021/GCNCW-VSD-1,13/01/2022,
Tổng cộng:,Tổng cộng:,Tổng cộng:,17.700.000,,,
