STT,Lần đăng ký,Lý do,Số lượng ĐK,Số lượng hủy ĐK,Giá trị ĐK,Giá trị hủy ĐK,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,11.500.000,0,115.000.000.000,0,số 05/2020/GCNETF-VSD,03/11/2020
2,Điều chỉnh lần 1,,1.100.000,0,11.000.000.000,0,số 05/2020/GCNETF-VSD-1,14/12/2020
3,Điều chỉnh lần 2,,100.000,0,1.000.000.000,0,số 05/2020/GCNETF-VSD-2,15/12/2020
4,Điều chỉnh lần 3,,1.300.000,0,13.000.000.000,0,số 05/2020/GCNETF-VSD-3,16/12/2020
5,Điều chỉnh lần 4,,1.100.000,0,11.000.000.000,0,số 05/2020/GCNETF-VSD-4,17/12/2020
6,Điều chỉnh lần 5,,1.000.000,0,10.000.000.000,0,số 05/2020/GCNETF-VSD-5,18/12/2020
7,Điều chỉnh lần 6,,600.000,0,6.000.000.000,0,số 05/2020/GCNETF-VSD-6,21/12/2020
8,Điều chỉnh lần 7,,3.500.000,0,35.000.000.000,0,số 05/2020/GCNETF-VSD-7,11/01/2021
9,Điều chỉnh lần 8,,700.000,0,7.000.000.000,0,số 05/2020/GCNETF-VSD-8,12/01/2021
10,Điều chỉnh lần 9,,1.000.000,0,10.000.000.000,0,số 05/2020/GCNETF-VSD-9,13/01/2021
11,Điều chỉnh lần 10,,500.000,0,5.000.000.000,0,05/2020/GCNETF-VSD-10,18/01/2021
12,Điều chỉnh lần 11,,1.000.000,0,10.000.000.000,0,05/2020/GCNETF-VSD-11,25/01/2021
13,Điều chỉnh lần 12,,700.000,0,7.000.000.000,0,05/2020/GCNETF-VSD-12,26/01/2021
14,Điều chỉnh lần 13,,0,-400.000,0,-4.000.000.000,05/2020/GCNETF-VSD-13,09/02/2021
15,Điều chỉnh lần 14,,4.600.000,0,46.000.000.000,0,05/2020/GCNETF-VSD-14,18/02/2021
16,Điều chỉnh lần 15,,1.400.000,0,14.000.000.000,0,05/2020/GCNETF-VSD-15,04/03/2021
17,Điều chỉnh lần 16,,800.000,0,8.000.000.000,0,05/2020/GCNETF-VSD-16,18/03/2021
18,Điều chỉnh lần 17,,2.000.000,0,20.000.000.000,0,05/2020/GCNETF-VSD-17,26/03/2021
19,Điều chỉnh lần 18,,1.000.000,0,10.000.000.000,0,05/2020/GCNETF-VSD-18,11/05/2021
20,Điều chỉnh lần 19,,500.000,0,5.000.000.000,0,05/2020/GCNETF-VSD-19,04/06/2021
21,Điều chỉnh lần 20,,1.000.000,0,10.000.000.000,0,05/2020/GCNETF-VSD-20,11/06/2021
22,Điều chỉnh lần 21,,500.000,0,5.000.000.000,0,05/2020/GCNETF-VSD-21,09/07/2021
23,Điều chỉnh lần 22,,0,-100.000,0,-1.000.000.000,05/2020/GCNETF-VSD-22,17/08/2021
24,Điều chỉnh lần 23,,100.000,0,1.000.000.000,0,05/2020/GCNETF-VSD-23,20/08/2021
25,Điều chỉnh lần 24,,6.500.000,0,65.000.000.000,0,05/2020/GCNETF-VSD-24,13/09/2021
26,Điều chỉnh lần 25,,100.000,0,1.000.000.000,0,05/2020/GCNETF-VSD-25,07/10/2021
27,Điều chỉnh lần 26,,1.000.000,0,10.000.000.000,0,05/2020/GCNETF-VSD-26,14/10/2021
28,Điều chỉnh lần 27,,100.000,0,1.000.000.000,0,05/2020/GCNETF-VSD-27,15/10/2021
29,Điều chỉnh lần 28,,0,-3.400.000,0,-34.000.000.000,05/2020/GCNETF-VSD-28,08/11/2021
30,Điều chỉnh lần 29,,0,-1.000.000,0,-10.000.000.000,05/2020/GCNETF-VSD-29,09/11/2021
31,Điều chỉnh lần 30,,0,-300.000,0,-3.000.000.000,05/2020/GCNETF-VSD-30,19/11/2021
32,Điều chỉnh lần 31,,1.600.000,0,16.000.000.000,0,05/2020/GCNETF-VSD-31,22/04/2022
33,Điều chỉnh lần 32,,1.500.000,0,15.000.000.000,0,05/2020/GCNETF-VSD-32,25/04/2022
34,Điều chỉnh lần 33,,1.000.000,0,10.000.000.000,0,05/2020/GCNETF-VSD-33,29/04/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,47.800.000,-5.200.000,478.000.000.000,-52.000.000.000,,
Tổng khối lượng CCQ đăng ký:,Tổng khối lượng CCQ đăng ký:,Tổng khối lượng CCQ đăng ký:,42.600.000,,,,,
Tổng giá trị CCQ đăng ký:,Tổng giá trị CCQ đăng ký:,Tổng giá trị CCQ đăng ký:,426.000.000.000,,,,,
