STT,Lần đăng ký,Lý do,Số lượng ĐK,Số lượng hủy ĐK,Giá trị ĐK,Giá trị hủy ĐK,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,24.043.760,0.0,240.437.600.000,0.0,142/2010/GCNCP-VSD,24/06/2010
Tổng cộng:,Tổng cộng:,Tổng cộng:,24.043.760,0.0,240.437.600.000,0.0,,
Tổng khối lượng CCQ đăng ký:,Tổng khối lượng CCQ đăng ký:,Tổng khối lượng CCQ đăng ký:,39.572.800,,,,,
Tổng giá trị CCQ đăng ký:,Tổng giá trị CCQ đăng ký:,Tổng giá trị CCQ đăng ký:,395.728.000.000,,,,,
